Ex: 2.2.6 -- Number of array accesses used by top-down merge
Output from Merge_AA

Length    Accesses  Expected  
293       11974     14406.38  
294       12022     14464.22  
295       12070     14522.09  
296       12120     14579.99  
297       12166     14637.92  
298       12214     14695.87  
299       12262     14753.86  
300       12312     14811.87  
301       12360     14869.92  
302       12410     14927.99  
303       12460     14986.09  
304       12512     15044.22  
305       12558     15102.38  
306       12606     15160.56  
307       12654     15218.78  
308       12704     15277.02  
309       12752     15335.29  
310       12802     15393.59  
311       12852     15451.92  
312       12904     15510.27  
313       12952     15568.66  
314       13002     15627.07  
315       13052     15685.50  
316       13104     15743.97  
317       13154     15802.46  
318       13206     15860.98  
319       13258     15919.53  
320       13312     15978.10  
321       13356     16036.70  
322       13402     16095.33  
323       13448     16153.99  
324       13496     16212.67  
325       13542     16271.38  
326       13590     16330.11  
327       13638     16388.87  
328       13688     16447.66  
329       13734     16506.48  
330       13782     16565.32  
331       13830     16624.19  
332       13880     16683.08  
333       13928     16742.00  
334       13978     16800.94  
335       14028     16859.91  
336       14080     16918.91  
337       14126     16977.93  
338       14174     17036.98  
339       14222     17096.06  
340       14272     17155.16  
341       14320     17214.28  
342       14370     17273.43  
343       14420     17332.61  
344       14472     17391.81  
345       14520     17451.04  
346       14570     17510.29  
347       14620     17569.56  
348       14672     17628.87  
349       14722     17688.19  
350       14774     17747.54  
351       14826     17806.92  
352       14880     17866.32  
353       14926     17925.74  
354       14974     17985.19  
355       15022     18044.67  
356       15072     18104.17  
357       15120     18163.69  
358       15170     18223.24  
359       15220     18282.81  
360       15272     18342.40  
361       15320     18402.02  
362       15370     18461.67  
363       15420     18521.33  
364       15472     18581.02  
365       15522     18640.74  
366       15574     18700.48  
367       15626     18760.24  
368       15680     18820.02  
369       15728     18879.83  
370       15778     18939.67  
371       15828     18999.52  
372       15880     19059.40  
373       15930     19119.31  
374       15982     19179.23  
375       16034     19239.18  
376       16088     19299.15  
377       16138     19359.15  
378       16190     19419.17  
379       16242     19479.21  
380       16296     19539.27  
381       16348     19599.36  
382       16402     19659.47  
383       16456     19719.60  
384       16512     19779.75  
385       16556     19839.93  
386       16602     19900.13  
387       16648     19960.35  
388       16696     20020.60  
389       16742     20080.86  
390       16790     20141.15  
391       16838     20201.46  
392       16888     20261.80  
393       16934     20322.15  
394       16982     20382.53  
395       17030     20442.93  
396       17080     20503.35  
397       17128     20563.79  
398       17178     20624.26  
399       17228     20684.75  
400       17280     20745.25  
401       17326     20805.78  
402       17374     20866.34  
403       17422     20926.91  
404       17472     20987.50  
405       17520     21048.12  
406       17570     21108.76  
407       17620     21169.42  
408       17672     21230.10  
409       17720     21290.80  
410       17770     21351.52  
411       17820     21412.26  
412       17872     21473.03  
413       17922     21533.81  
414       17974     21594.62  
415       18026     21655.45  
416       18080     21716.30  
417       18126     21777.17  
418       18174     21838.06  
419       18222     21898.97  
420       18272     21959.90  
421       18320     22020.85  
422       18370     22081.82  
423       18420     22142.82  
424       18472     22203.83  
425       18520     22264.86  
426       18570     22325.92  
427       18620     22386.99  
428       18672     22448.09  
429       18722     22509.20  
430       18774     22570.34  
431       18826     22631.49  
432       18880     22692.67  
433       18928     22753.86  
434       18978     22815.08  
435       19028     22876.31  
436       19080     22937.57  
437       19130     22998.85  
438       19182     23060.14  
439       19234     23121.46  
440       19288     23182.79  
441       19338     23244.14  
442       19390     23305.52  
443       19442     23366.91  
444       19496     23428.32  
445       19548     23489.76  
446       19602     23551.21  
447       19656     23612.68  
448       19712     23674.17  
449       19758     23735.68  
450       19806     23797.21  
451       19854     23858.76  
452       19904     23920.33  
453       19952     23981.91  
454       20002     24043.52  
455       20052     24105.14  
456       20104     24166.79  
457       20152     24228.45  
458       20202     24290.13  
459       20252     24351.83  
460       20304     24413.55  
461       20354     24475.29  
462       20406     24537.05  
463       20458     24598.82  
464       20512     24660.62  
465       20560     24722.43  
466       20610     24784.26  
467       20660     24846.12  
468       20712     24907.98  
469       20762     24969.87  
470       20814     25031.78  
471       20866     25093.70  
472       20920     25155.65  
473       20970     25217.61  
474       21022     25279.59  
475       21074     25341.58  
476       21128     25403.60  
477       21180     25465.63  
478       21234     25527.69  
479       21288     25589.76  
480       21344     25651.84  
481       21392     25713.95  
482       21442     25776.08  
483       21492     25838.22  
484       21544     25900.38  
485       21594     25962.56  
486       21646     26024.75  
487       21698     26086.97  
488       21752     26149.20  
489       21802     26211.45  
490       21854     26273.72  
491       21906     26336.00  
492       21960     26398.30  
493       22012     26460.62  
494       22066     26522.96  
495       22120     26585.32  
496       22176     26647.69  
497       22226     26710.08  
498       22278     26772.49  
499       22330     26834.91  
500       22384     26897.35  
501       22436     26959.81  
502       22490     27022.29  
503       22544     27084.78  
504       22600     27147.29  
505       22652     27209.82  
506       22706     27272.37  
507       22760     27334.93  
508       22816     27397.51  
509       22870     27460.11  
510       22926     27522.72  
511       22982     27585.35  
512       23040     27648.00  
