Ex: 2.2.6 -- Number of array accesses used by bottom-up merge
Output from MergeBU_AA

Length    Accesses  Expected  
293       12506     14406.38  
294       12534     14464.22  
295       12566     14522.09  
296       12600     14579.99  
297       12650     14637.92  
298       12678     14695.87  
299       12710     14753.86  
300       12744     14811.87  
301       12784     14869.92  
302       12818     14927.99  
303       12856     14986.09  
304       12896     15044.22  
305       12978     15102.38  
306       13006     15160.56  
307       13038     15218.78  
308       13072     15277.02  
309       13112     15335.29  
310       13146     15393.59  
311       13184     15451.92  
312       13224     15510.27  
313       13280     15568.66  
314       13314     15627.07  
315       13352     15685.50  
316       13392     15743.97  
317       13438     15802.46  
318       13478     15860.98  
319       13522     15919.53  
320       13568     15978.10  
321       13836     16036.70  
322       13858     16095.33  
323       13884     16153.99  
324       13912     16212.67  
325       13946     16271.38  
326       13974     16330.11  
327       14006     16388.87  
328       14040     16447.66  
329       14090     16506.48  
330       14118     16565.32  
331       14150     16624.19  
332       14184     16683.08  
333       14224     16742.00  
334       14258     16800.94  
335       14296     16859.91  
336       14336     16918.91  
337       14418     16977.93  
338       14446     17036.98  
339       14478     17096.06  
340       14512     17155.16  
341       14552     17214.28  
342       14586     17273.43  
343       14624     17332.61  
344       14664     17391.81  
345       14720     17451.04  
346       14754     17510.29  
347       14792     17569.56  
348       14832     17628.87  
349       14878     17688.19  
350       14918     17747.54  
351       14962     17806.92  
352       15008     17866.32  
353       15154     17925.74  
354       15182     17985.19  
355       15214     18044.67  
356       15248     18104.17  
357       15288     18163.69  
358       15322     18223.24  
359       15360     18282.81  
360       15400     18342.40  
361       15456     18402.02  
362       15490     18461.67  
363       15528     18521.33  
364       15568     18581.02  
365       15614     18640.74  
366       15654     18700.48  
367       15698     18760.24  
368       15744     18820.02  
369       15832     18879.83  
370       15866     18939.67  
371       15904     18999.52  
372       15944     19059.40  
373       15990     19119.31  
374       16030     19179.23  
375       16074     19239.18  
376       16120     19299.15  
377       16182     19359.15  
378       16222     19419.17  
379       16266     19479.21  
380       16312     19539.27  
381       16364     19599.36  
382       16410     19659.47  
383       16460     19719.60  
384       16512     19779.75  
385       17036     19839.93  
386       17058     19900.13  
387       17084     19960.35  
388       17112     20020.60  
389       17146     20080.86  
390       17174     20141.15  
391       17206     20201.46  
392       17240     20261.80  
393       17290     20322.15  
394       17318     20382.53  
395       17350     20442.93  
396       17384     20503.35  
397       17424     20563.79  
398       17458     20624.26  
399       17496     20684.75  
400       17536     20745.25  
401       17618     20805.78  
402       17646     20866.34  
403       17678     20926.91  
404       17712     20987.50  
405       17752     21048.12  
406       17786     21108.76  
407       17824     21169.42  
408       17864     21230.10  
409       17920     21290.80  
410       17954     21351.52  
411       17992     21412.26  
412       18032     21473.03  
413       18078     21533.81  
414       18118     21594.62  
415       18162     21655.45  
416       18208     21716.30  
417       18354     21777.17  
418       18382     21838.06  
419       18414     21898.97  
420       18448     21959.90  
421       18488     22020.85  
422       18522     22081.82  
423       18560     22142.82  
424       18600     22203.83  
425       18656     22264.86  
426       18690     22325.92  
427       18728     22386.99  
428       18768     22448.09  
429       18814     22509.20  
430       18854     22570.34  
431       18898     22631.49  
432       18944     22692.67  
433       19032     22753.86  
434       19066     22815.08  
435       19104     22876.31  
436       19144     22937.57  
437       19190     22998.85  
438       19230     23060.14  
439       19274     23121.46  
440       19320     23182.79  
441       19382     23244.14  
442       19422     23305.52  
443       19466     23366.91  
444       19512     23428.32  
445       19564     23489.76  
446       19610     23551.21  
447       19660     23612.68  
448       19712     23674.17  
449       19986     23735.68  
450       20014     23797.21  
451       20046     23858.76  
452       20080     23920.33  
453       20120     23981.91  
454       20154     24043.52  
455       20192     24105.14  
456       20232     24166.79  
457       20288     24228.45  
458       20322     24290.13  
459       20360     24351.83  
460       20400     24413.55  
461       20446     24475.29  
462       20486     24537.05  
463       20530     24598.82  
464       20576     24660.62  
465       20664     24722.43  
466       20698     24784.26  
467       20736     24846.12  
468       20776     24907.98  
469       20822     24969.87  
470       20862     25031.78  
471       20906     25093.70  
472       20952     25155.65  
473       21014     25217.61  
474       21054     25279.59  
475       21098     25341.58  
476       21144     25403.60  
477       21196     25465.63  
478       21242     25527.69  
479       21292     25589.76  
480       21344     25651.84  
481       21496     25713.95  
482       21530     25776.08  
483       21568     25838.22  
484       21608     25900.38  
485       21654     25962.56  
486       21694     26024.75  
487       21738     26086.97  
488       21784     26149.20  
489       21846     26211.45  
490       21886     26273.72  
491       21930     26336.00  
492       21976     26398.30  
493       22028     26460.62  
494       22074     26522.96  
495       22124     26585.32  
496       22176     26647.69  
497       22270     26710.08  
498       22310     26772.49  
499       22354     26834.91  
500       22400     26897.35  
501       22452     26959.81  
502       22498     27022.29  
503       22548     27084.78  
504       22600     27147.29  
505       22668     27209.82  
506       22714     27272.37  
507       22764     27334.93  
508       22816     27397.51  
509       22874     27460.11  
510       22926     27522.72  
511       22982     27585.35  
512       23040     27648.00  
